,id,title,description,course,ingredients,calories,protein,carbohydrates,fat,saturated_fat,sodium,fiber,cooking_time,rating,review_count,recipe_instruction,source,tags,appliances,ingredient_list,ingredients_str,recipe_yield_personen,recipe_yield_stuk,source_type,year_nr1,year_nr2,year_nr3,year_nr4,minimum_year_nr,year_week1,year_week2,minimum_year_week,tags_str,tag_0,tag_1,tag_2
0,861106,Vegetarische bonenstoof,"Stoofgerecht met vegetarische balletjes, aardappelpartjes en bruine bonen.",hoofdgerecht,"{'olijfolie': '2 el()', 'tomatenblokjes': '800 g(blik à 400 g)', 'bruine bonen': '800 g(blik)', 'peterselie': '2 el()', 'gekruide aardappelpartjes': '425 g(zakje)', 'vegetarische balletjes': '210 g(schaal)', 'ui': '1 ()', 'gemalen komijn': '2 tl()'}",410.0,21,52,10.0,2.0,1.04,16.0,15.0,3.0,483.0,Verwarm de oven voor op 200 ºC.,Allerhande magazine 2012 nr. 11 - Alles uit de oven,"['vegetarisch', 'slank', 'oven']",['ovenschaal (20 x 30 cm)'],"['bruine bonen', 'gekruide aardappelpartjes', 'gemalen komijn', 'olijfolie', 'peterselie', 'tomatenblokjes', 'ui', 'vegetarische balletjes']","bruine bonen, gekruide aardappelpartjes, gemalen komijn, olijfolie, peterselie, tomatenblokjes, ui, vegetarische balletjes",4.0,,magazine,2012.11,,,,2012.11,,,,"vegetarisch, slank, oven",vegetarisch,slank,oven
1,680104,Frisse limoenroom,"Een lekker recept. Het nagerecht bevat de volgende ingrediënten: slagroom (250 ml), vloeibare honing, limoenen (schoongeboend) en Griekse yoghurt (a 500 g).",nagerecht,"{'limoenen': ' 2(schoongeboend)', 'slagroom': '1 beker(250 ml)', 'vloeibare honing': ' 2 el()', 'Griekse yoghurt': ' 1/2 beker(a 500 g)'}",290.0,8,14,22.0,0.0,,0.0,10.0,3.0,161.0,,Allerhande magazine 2010 nr. 12 - Kerst nieuw-klassiek,['kerst'],['hoge glazen'],"['Griekse yoghurt', 'limoenen', 'slagroom', 'vloeibare honing']","Griekse yoghurt, limoenen, slagroom, vloeibare honing",4.0,,magazine,2010.12,,,,2010.12,,,,kerst,kerst,,
2,683858,Kalkoenfilet met champignonroomsaus,"Kidsproof winters recept voor pasta met kalkoenfilet, uitje en een champignonroomsaus. ",hoofdgerecht,"{'olijfolie': '2 el()', 'gedroogde rozemarijn': '1 tl()', 'champignons': '500 g(bakje a 250 g)', 'kookroom': '250 ml(flesje 250 ml)', 'bospaddenstoelenbouillontablet': '0.5 ()', 'water': '100 ml()', 'kalkoenfilet': '440 g(schaal a 220 g)', 'ui': '2 ()', 'spaghetti': '300 g(zak a 500 g)'}",585.0,41,58,21.0,0.0,,0.0,25.0,3.0,112.0,Kook de spaghetti volgens de aanwijzingen op de verpakking.,Receptkaart 2010 week 50-51,"['italiaans', 'wat eten we vandaag', 'bakken']",[],"['bospaddenstoelenbouillontablet', 'champignons', 'gedroogde rozemarijn', 'kalkoenfilet', 'kookroom', 'olijfolie', 'spaghetti', 'ui', 'water']","bospaddenstoelenbouillontablet, champignons, gedroogde rozemarijn, kalkoenfilet, kookroom, olijfolie, spaghetti, ui, water",4.0,,receptkaart,,,,,,2010.50,,2010.5,"italiaans, wat eten we vandaag, bakken",italiaans,wat eten we vandaag,bakken
3,1187074,Andijvie met rauwe ham en prei,"bijgerecht met andijvie, prei, knoflook, tijm en Coburger ham. ",bijgerecht,"{'olijfolie': '2 el()', 'prei': '2 ()', 'knoflook': '2 teen()', 'fijngesneden andijvie': '500 g(zak à 500 g)', 'takje tijm': '3 ()', 'Coburger ham': '100 g()'}",175.0,9,7,11.0,2.0,0.475,6.0,15.0,3.0,8.0,Was de preien en snijd ze in ringen. Snijd de knoflook fijn. Verhit de olie in een hapjespan en bak de prei en knoflook op middelhoog vuur 8 min. Ris de blaadjes van de takjes tijm en voeg toe aan de prei.,Allerhande magazine 2016 nr. 05 - Eet de lente,"['glutenvrij', 'lactosevrij', 'hollands']",[],"['Coburger ham', 'fijngesneden andijvie', 'knoflook', 'olijfolie', 'prei', 'takje tijm']","Coburger ham, fijngesneden andijvie, knoflook, olijfolie, prei, takje tijm",4.0,,magazine,2016.05,,,,2016.05,,,,"glutenvrij, lactosevrij, hollands",glutenvrij,lactosevrij,hollands
4,660152,Spruiten-rozijnensalade,"Een lekker hollands recept. Het vegetarische bijgerecht bevat de volgende ingrediënten: spruitjes (500 g), bosui (3 stuks), rozijnen (zak 250 g) en sladressing bieslook (fles 270 ml).",bijgerecht,"{'sladressing bieslook': '6 el(fles 270 ml)', 'spruitjes': '1 zak(500 g)', 'bosui': '1 zak(3 stuks)', 'rozijnen': '75 g(zak 250 g)'}",115.0,1,19,4.0,0.0,,0.0,15.0,3.0,58.0,"Verwijder de buitenste bladeren van de spruiten. Kook de spruiten in 3 min. beetgaar. Giet de spuiten af, spoel af onder de koude kraan en laat uitlekken.",Allerhande magazine 2010 nr. 09 - Groente volop variëren,"['vegetarisch', 'hollands', 'koken']",[],"['bosui', 'rozijnen', 'sladressing bieslook', 'spruitjes']","bosui, rozijnen, sladressing bieslook, spruitjes",4.0,,magazine,2010.09,,,,2010.09,,,,"vegetarisch, hollands, koken",vegetarisch,hollands,koken
6,516900,Kruiden-granaatappelcouscous,"Couscous bereid in kruidige bouillon met citoenrasp, granaatappelpitjes en verse kruiden.",bijgerecht,"{'granaatappel': '1 ()', 'kraanwater': '350 ml()', 'munt': '7.5 g(bakje 15 g)', 'couscous': '250 g(pak 500g)', 'bladselderij': '3 takje(bakje 30 g)', 'citroen': '1 ()', 'koriander': '15 g(bakje 15 g)', 'rozijnen': '25 g()', 'olijfolie': '2 el()', 'gemalen komijn (djinten)': '2 tl()', 'gemalen kaneel': '1 tl()', 'groentebouillontablet': '0.5 ()'}",350.0,9,62,6.0,1.0,0.255,6.0,25.0,3.0,97.0,"Rasp 2 tl van de schoongeboende citroenschil en pers een 1/2 citroen uit. Breng in een pan het water met de olie, het bouillontablet, de komijn, kaneel en rozijnen aan de kook. Schep de couscous bij de bouillon. Zet het vuur uit en laat de couscous afgedekt 10 min. doorgaren.",Allerhande magazine 2008 nr. 13 - Merry Mix-Mas,"['kerst', 'lactosevrij', 'vegetarisch']",[],"['bladselderij', 'citroen', 'couscous', 'gemalen kaneel', 'gemalen komijn (djinten)', 'granaatappel', 'groentebouillontablet', 'koriander', 'kraanwater', 'munt', 'olijfolie', 'rozijnen']","bladselderij, citroen, couscous, gemalen kaneel, gemalen komijn (djinten), granaatappel, groentebouillontablet, koriander, kraanwater, munt, olijfolie, rozijnen",4.0,,magazine,2008.13,,,,2008.13,,,,"kerst, lactosevrij, vegetarisch",amerikaans,,
7,749478,Smashed potatoes,"Een lekker amerikaans recept. Het hoofdgerecht bevat de volgende ingrediënten: vis, kruimige aardappelen (zak 1 kg), boter, zalmfilet ((diepvries), ontdooid), olijfolie, fijne mosterd, honing, gedroogde tijm en spinazie (a 300 g).",hoofdgerecht,"{'olijfolie': '3 el()', 'kruimige aardappelen': '8 middelgrote(zak 1 kg)', 'boter': '50 g()', 'gedroogde tijm': '2 tl()', 'spinazie': '2 zakken(a 300 g)', 'fijne mosterd': '2 tl()', 'zalmfilet': '300 g((diepvries), ontdooid)', 'honing': '1 el()'}",580.0,24,43,33.0,0.0,,0.0,25.0,4.0,56.0,Verwarm de oven voor op 225 °C. Doe de aardappelen in de magnetronschaal en dek deze af met magnetronfolie. Pof de aardappelen 15 min. in de magnetron op vol vermogen (700 watt). Laat 5 min. afkoelen. Plet ze met de deegroller. Leg op een met bakpapier beklede bakplaat.,Allerhande magazine 2011 nr. 09 - Smakelijk seizoen,['amerikaans'],"['bakpapier, deegroller, magnetronfolie, magnetronschaal,\n\t satéstokjes']","['boter', 'fijne mosterd', 'gedroogde tijm', 'honing', 'kruimige aardappelen', 'olijfolie', 'spinazie', 'zalmfilet']","boter, fijne mosterd, gedroogde tijm, honing, kruimige aardappelen, olijfolie, spinazie, zalmfilet",4.0,,magazine,2011.09,,,,2011.09,,,,amerikaans,vooraf te maken,frans,valentijnsdag
8,424720,Chocolademousse,Luchtig chocolade dessert.,nagerecht,"{'slagroom': '200 ml()', 'witte basterdsuiker': '50 g()', 'melk': '100 ml()', 'pure chocolade': '150 g()'}",435.0,5,34,31.0,18.0,0.03,3.0,20.0,3.0,880.0,Breng in een pan het water aan de kook en draai het vuur zacht. Verwarm de melk en giet in een hittebestendige kom die op de pan past. Breek de repen chocolade erboven in stukjes.,Allerhande magazine 2007 nr. 03 - Klassiek goed! topgerechten uit alle windstreken,"['vooraf te maken', 'frans', 'valentijnsdag']",[],"['melk', 'pure chocolade', 'slagroom', 'witte basterdsuiker']","melk, pure chocolade, slagroom, witte basterdsuiker",4.0,,magazine,2007.03,,,,2007.03,,,,"vooraf te maken, frans, valentijnsdag",oven,mediterraan,
10,749494,Geroosterde aardappelen,"Een lekker mediterraans recept. Het bijgerecht bevat de volgende ingrediënten: vis, aardappelen (iets kruimig, schoongeboend), crème fraîche (125 ml), ansjovisfilets (in olijfolie (46 g), uitgelekt), zwarte olijven (zonder pit (potje 240 g) en in plakjes).",bijgerecht,"{'crème fraîche': '1 bekertje(125 ml)', 'zwarte olijven': '2 el(zonder pit (potje 240 g), in plakjes)', 'aardappelen': '8 middelgrote(iets kruimig, schoongeboend)', 'ansjovisfilets': '1 blikje(in olijfolie (46 g), uitgelekt)'}",260.0,6,29,13.0,0.0,,0.0,20.0,3.0,20.0,Verwarm de oven voor op 200 °C. Leg de aardappelen in de ovenschaal en pof ze 11 min. op vol vermogen (700 watt) in de magnetron. Laat 4 min. nagaren. Halveer de aardappelen in de lengte en schep ze met een lepel leeg tot ca. 1/2 cm van de schil.,Allerhande magazine 2011 nr. 09 - Smakelijk seizoen,"['oven', 'mediterraan']","['schaal (20 x 30 cm), geschikt voor oven en\n\t magnetron']","['aardappelen', 'ansjovisfilets', 'crème fraîche', 'zwarte olijven']","aardappelen, ansjovisfilets, crème fraîche, zwarte olijven",4.0,,magazine,2011.09,,,,2011.09,,,,"oven, mediterraan",vegetarisch,italiaans,koken
11,412596,Romige kabeljauwschotel,"Een lekker hollands recept. Het hoofdgerecht bevat de volgende ingrediënten: vis, kabeljauwfilet (diepvries, 400 g), rode uien, zonnebloemolie, aardappelschijfjes (700 g), tuinerwten (extra fijn (diepvries, 450 g)) en cuisine knoflook  fijne kruiden (245 g).",hoofdgerecht,"{'kabeljauwfilet': '1 pak(diepvries, 400 g)', 'zonnebloemolie': '3 eetlepels()', 'cuisine knoflook  fijne kruiden': '1 kuipje(245 g)', 'tuinerwten': '1 pak(extra fijn (diepvries, 450 g))', 'aardappelschijfjes': '1 duopak(700 g)', 'rode uien': '2 ()'}",570.0,31,49,27.0,0.0,,0.0,20.0,3.0,30.0,,Receptkaart 2006 week 46-47,['hollands'],[],"['aardappelschijfjes', 'cuisine knoflook  fijne kruiden', 'kabeljauwfilet', 'rode uien', 'tuinerwten', 'zonnebloemolie']","aardappelschijfjes, cuisine knoflook  fijne kruiden, kabeljauwfilet, rode uien, tuinerwten, zonnebloemolie",4.0,,receptkaart,,,,,,2006.46,,2006.46,hollands,kerst,glutenvrij,lactosevrij
